bytes,classification,occurrence_va,page_va,pointer_value,source_slot_va
5000000060000000,non_iat_receive_pointer_copy,279651704,279650304,412316860496,295686192
7000000060000000,non_iat_receive_pointer_copy,279651720,279650304,412316860528,295686208
0002000060000000,non_iat_receive_pointer_copy,279651920,279650304,412316860928,295686408
6002000060000000,non_iat_receive_pointer_copy,279651968,279650304,412316861024,295686456
