equation_id,frames,coverage,invalid_lengths,resync_distance,tail,score,survives_train,confidence,reason
eq02094,39,0.9988,867,867,92,73.194,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02098,39,0.9988,867,867,92,73.194,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02310,39,0.9988,867,867,93,73.194,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02314,39,0.9988,867,867,93,73.194,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00798,39,0.9988,868,868,90,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00803,39,0.9988,868,868,90,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01086,39,0.9988,868,868,91,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01091,39,0.9988,868,868,91,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01302,39,0.9988,868,868,92,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01307,39,0.9988,868,868,92,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01854,35,0.9972,820,820,208,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02142,35,0.9972,820,820,209,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02358,35,0.9972,820,820,210,73.192,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00366,39,0.9988,869,869,90,73.19,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00372,39,0.9988,869,869,90,73.19,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00582,39,0.9988,869,869,91,73.19,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00588,39,0.9988,869,869,91,73.19,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00150,39,0.9988,870,870,90,73.188,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00157,39,0.9988,870,870,90,73.188,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01564,39,0.9969,821,821,231,73.172,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01852,39,0.9969,821,821,232,73.172,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02140,39,0.9969,821,821,233,73.172,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02356,39,0.9969,821,821,234,73.172,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00845,39,0.9969,822,822,231,73.17,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01133,39,0.9969,822,822,232,73.17,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01349,39,0.9969,822,822,233,73.17,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00414,39,0.9969,823,823,231,73.168,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00630,39,0.9969,823,823,232,73.168,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01536,31,0.9985,892,892,115,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01540,31,0.9985,892,892,115,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01824,31,0.9985,892,892,116,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01828,31,0.9985,892,892,116,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02112,31,0.9985,892,892,117,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02116,31,0.9985,892,892,117,73.126,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00816,31,0.9985,893,893,115,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00821,31,0.9985,893,893,115,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01104,31,0.9985,893,893,116,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01109,31,0.9985,893,893,116,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01320,31,0.9985,893,893,117,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01325,31,0.9985,893,893,117,73.124,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00384,31,0.9985,894,894,115,73.122,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00390,31,0.9985,894,894,115,73.122,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00600,31,0.9985,894,894,116,73.122,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00606,31,0.9985,894,894,116,73.122,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00168,31,0.9985,895,895,115,73.12,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00175,31,0.9985,895,895,115,73.12,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02328,31,0.9984,892,892,118,73.12,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02332,31,0.9984,892,892,118,73.12,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01553,38,0.9968,854,854,238,73.1,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01841,38,0.9968,854,854,239,73.1,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02129,38,0.9968,854,854,240,73.1,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq02345,38,0.9968,854,854,241,73.1,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00833,38,0.9968,855,855,238,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00838,38,0.9968,855,855,238,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01121,38,0.9968,855,855,239,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01126,38,0.9968,855,855,239,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01337,38,0.9968,855,855,240,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01342,38,0.9968,855,855,240,73.098,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00401,38,0.9968,856,856,238,73.096,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00407,38,0.9968,856,856,238,73.096,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00617,38,0.9968,856,856,239,73.096,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00623,38,0.9968,856,856,239,73.096,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00185,38,0.9968,857,857,238,73.094,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq00192,38,0.9968,857,857,238,73.094,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01556,34,0.9969,866,866,235,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01560,34,0.9969,866,866,235,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
eq01844,34,0.9969,866,866,236,73.082,true,medium,explicit single-equation train-prefix tiling; no nearest-size or multi-equation fallback
