model_id,frame_index,stream_offset_start,stream_offset_end,header_size,frame_len,confidence,reason
fm03415,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03415,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03415,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03415,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03415,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03415,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03415,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03415,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03415,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03415,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03415,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03415,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03415,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03415,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03415,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03415,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03415,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03415,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03415,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03415,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03409,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03409,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03409,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03409,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03409,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03409,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03409,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03409,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03409,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03409,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03409,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03409,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03409,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03409,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03409,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03409,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03409,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03409,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03409,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03409,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03409,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03409,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03409,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03409,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03409,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03412,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03412,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03412,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03412,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03412,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03412,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03412,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03412,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03412,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03412,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03412,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03412,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03412,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03412,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03412,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03412,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03412,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03412,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03412,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03412,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03412,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03412,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03412,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03412,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03412,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03413,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03413,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03413,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03413,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03413,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03413,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03413,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03413,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03413,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03413,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03413,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03413,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03413,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03413,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03413,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03413,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03413,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03413,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03413,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03413,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03413,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03413,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03413,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03413,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03413,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03416,0,0,59,16,59,medium,frame tiling diagnostic metadata only
fm03416,1,59,302,16,243,medium,frame tiling diagnostic metadata only
fm03416,2,302,552,16,250,medium,frame tiling diagnostic metadata only
fm03416,3,552,765,16,213,medium,frame tiling diagnostic metadata only
fm03416,4,765,938,16,173,medium,frame tiling diagnostic metadata only
fm03416,5,938,970,16,32,medium,frame tiling diagnostic metadata only
fm03416,6,970,1055,16,85,medium,frame tiling diagnostic metadata only
fm03416,7,1055,1086,16,31,medium,frame tiling diagnostic metadata only
fm03416,8,1086,1296,16,210,medium,frame tiling diagnostic metadata only
fm03416,9,1296,1506,16,210,medium,frame tiling diagnostic metadata only
fm03416,10,1506,1610,16,104,medium,frame tiling diagnostic metadata only
fm03416,11,1610,1656,16,46,medium,frame tiling diagnostic metadata only
fm03416,12,1656,1871,16,215,medium,frame tiling diagnostic metadata only
fm03416,13,1871,1939,16,68,medium,frame tiling diagnostic metadata only
fm03416,14,1939,2190,16,251,medium,frame tiling diagnostic metadata only
fm03416,15,2190,2349,16,159,medium,frame tiling diagnostic metadata only
fm03416,16,2349,2368,16,19,medium,frame tiling diagnostic metadata only
fm03416,17,2368,2523,16,155,medium,frame tiling diagnostic metadata only
fm03416,18,2523,2747,16,224,medium,frame tiling diagnostic metadata only
fm03416,19,2747,2805,16,58,medium,frame tiling diagnostic metadata only
fm03416,20,2805,3006,16,201,medium,frame tiling diagnostic metadata only
fm03416,21,3006,3058,16,52,medium,frame tiling diagnostic metadata only
fm03416,22,3058,3217,16,159,medium,frame tiling diagnostic metadata only
fm03416,23,3217,3388,16,171,medium,frame tiling diagnostic metadata only
fm03416,24,3388,3442,16,54,medium,frame tiling diagnostic metadata only
fm03610,0,0,118,16,118,medium,frame tiling diagnostic metadata only
fm03610,1,118,276,16,158,medium,frame tiling diagnostic metadata only
fm03610,2,276,517,16,241,medium,frame tiling diagnostic metadata only
fm03610,3,517,538,16,21,medium,frame tiling diagnostic metadata only
fm03610,4,538,608,16,70,medium,frame tiling diagnostic metadata only
fm03610,5,608,706,16,98,medium,frame tiling diagnostic metadata only
fm03610,6,706,854,16,148,medium,frame tiling diagnostic metadata only
fm03610,7,854,1029,16,175,medium,frame tiling diagnostic metadata only
fm03610,8,1029,1284,16,255,medium,frame tiling diagnostic metadata only
fm03610,9,1284,1529,16,245,medium,frame tiling diagnostic metadata only
fm03610,10,1529,1736,16,207,medium,frame tiling diagnostic metadata only
fm03610,11,1736,1836,16,100,medium,frame tiling diagnostic metadata only
fm03610,12,1836,1861,16,25,medium,frame tiling diagnostic metadata only
fm03610,13,1861,2051,16,190,medium,frame tiling diagnostic metadata only
fm03610,14,2051,2099,16,48,medium,frame tiling diagnostic metadata only
fm03610,15,2099,2353,16,254,medium,frame tiling diagnostic metadata only
fm03610,16,2353,2381,16,28,medium,frame tiling diagnostic metadata only
fm03610,17,2381,2575,16,194,medium,frame tiling diagnostic metadata only
fm03610,18,2575,2765,16,190,medium,frame tiling diagnostic metadata only
fm03610,19,2765,3020,16,255,medium,frame tiling diagnostic metadata only
fm03610,20,3020,3150,16,130,medium,frame tiling diagnostic metadata only
fm03610,21,3150,3170,16,20,medium,frame tiling diagnostic metadata only
fm03610,22,3170,3307,16,137,medium,frame tiling diagnostic metadata only
fm03610,23,3307,3497,16,190,medium,frame tiling diagnostic metadata only
fm03610,24,3497,3538,16,41,medium,frame tiling diagnostic metadata only
fm03611,0,0,118,16,118,medium,frame tiling diagnostic metadata only
fm03611,1,118,276,16,158,medium,frame tiling diagnostic metadata only
fm03611,2,276,517,16,241,medium,frame tiling diagnostic metadata only
fm03611,3,517,538,16,21,medium,frame tiling diagnostic metadata only
fm03611,4,538,608,16,70,medium,frame tiling diagnostic metadata only
fm03611,5,608,706,16,98,medium,frame tiling diagnostic metadata only
fm03611,6,706,854,16,148,medium,frame tiling diagnostic metadata only
fm03611,7,854,1029,16,175,medium,frame tiling diagnostic metadata only
fm03611,8,1029,1284,16,255,medium,frame tiling diagnostic metadata only
fm03611,9,1284,1529,16,245,medium,frame tiling diagnostic metadata only
fm03611,10,1529,1736,16,207,medium,frame tiling diagnostic metadata only
fm03611,11,1736,1836,16,100,medium,frame tiling diagnostic metadata only
fm03611,12,1836,1861,16,25,medium,frame tiling diagnostic metadata only
fm03611,13,1861,2051,16,190,medium,frame tiling diagnostic metadata only
fm03611,14,2051,2099,16,48,medium,frame tiling diagnostic metadata only
fm03611,15,2099,2353,16,254,medium,frame tiling diagnostic metadata only
fm03611,16,2353,2381,16,28,medium,frame tiling diagnostic metadata only
fm03611,17,2381,2575,16,194,medium,frame tiling diagnostic metadata only
fm03611,18,2575,2765,16,190,medium,frame tiling diagnostic metadata only
fm03611,19,2765,3020,16,255,medium,frame tiling diagnostic metadata only
fm03611,20,3020,3150,16,130,medium,frame tiling diagnostic metadata only
fm03611,21,3150,3170,16,20,medium,frame tiling diagnostic metadata only
fm03611,22,3170,3307,16,137,medium,frame tiling diagnostic metadata only
fm03611,23,3307,3497,16,190,medium,frame tiling diagnostic metadata only
fm03611,24,3497,3538,16,41,medium,frame tiling diagnostic metadata only
fm03614,0,0,118,16,118,medium,frame tiling diagnostic metadata only
fm03614,1,118,276,16,158,medium,frame tiling diagnostic metadata only
fm03614,2,276,517,16,241,medium,frame tiling diagnostic metadata only
fm03614,3,517,538,16,21,medium,frame tiling diagnostic metadata only
fm03614,4,538,608,16,70,medium,frame tiling diagnostic metadata only
fm03614,5,608,706,16,98,medium,frame tiling diagnostic metadata only
fm03614,6,706,854,16,148,medium,frame tiling diagnostic metadata only
fm03614,7,854,1029,16,175,medium,frame tiling diagnostic metadata only
