oracle_id,channel,flow_role,server_port,direction,window_model,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,confidence,reason
o014,group,world,7780,S2C,pm10,834,838,2,238,149963,150201,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,S2C,pm10,832,832,1,101,5943,6044,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,C2S,pm1_5,836,836,1,22,1562,1584,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,C2S,pm3,836,836,1,22,1562,1584,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,C2S,pm5,836,836,1,22,1562,1584,high,authoritative oracle interval/window stream metadata
o014,group,side_control,10242,C2S,pm10,836,840,2,44,1562,1606,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,S2C,exact_second,846,846,1,135,150217,150352,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,S2C,pm1_5,846,846,1,135,150217,150352,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,S2C,pm3,846,846,1,135,150217,150352,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,S2C,pm5,846,846,1,135,150217,150352,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,S2C,pm10,844,850,3,286,150201,150487,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,S2C,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,C2S,pm5,848,848,1,22,1628,1650,high,authoritative oracle interval/window stream metadata
o015,group,side_control,10242,C2S,pm10,842,848,2,44,1606,1650,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,S2C,exact_second,850,850,1,135,150352,150487,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,S2C,pm1_5,850,850,1,135,150352,150487,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,S2C,pm3,850,850,1,135,150352,150487,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,S2C,pm5,850,854,3,352,150352,150704,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,S2C,pm10,846,854,4,487,150217,150704,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,S2C,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,C2S,pm5,848,848,1,22,1628,1650,high,authoritative oracle interval/window stream metadata
o016,group,side_control,10242,C2S,pm10,848,856,2,44,1628,1672,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,S2C,exact_second,872,872,1,63,150704,150767,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,S2C,pm1_5,872,872,1,63,150704,150767,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,S2C,pm3,872,872,1,63,150704,150767,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,S2C,pm5,872,872,1,63,150704,150767,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,S2C,pm10,872,872,1,63,150704,150767,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,C2S,exact_second,870,870,1,56,498,554,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,C2S,pm1_5,870,870,1,56,498,554,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,C2S,pm3,870,870,1,56,498,554,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,C2S,pm5,870,870,1,56,498,554,high,authoritative oracle interval/window stream metadata
o017,local,world,7780,C2S,pm10,870,870,1,56,498,554,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,S2C,pm1_5,874,874,1,217,6380,6597,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,S2C,pm3,866,874,3,357,6240,6597,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,S2C,pm5,864,874,4,428,6169,6597,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,S2C,pm10,864,874,4,428,6169,6597,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,C2S,pm5,876,876,1,22,1716,1738,high,authoritative oracle interval/window stream metadata
o017,local,side_control,10242,C2S,pm10,862,876,2,44,1694,1738,high,authoritative oracle interval/window stream metadata
