oracle_id,channel,flow_role,server_port,direction,window_model,first_frame,last_frame,packet_count,total_bytes,stream_offset_start,stream_offset_end,confidence,reason
o003,whisper,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,S2C,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,C2S,pm3,508,508,1,22,858,880,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,C2S,pm5,508,508,1,22,858,880,high,authoritative oracle interval/window stream metadata
o003,whisper,side_control,10242,C2S,pm10,490,508,2,44,836,880,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,S2C,exact_second,527,531,3,137,145177,145314,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,S2C,pm1_5,527,533,4,207,145177,145384,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,S2C,pm3,527,533,4,207,145177,145384,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,S2C,pm5,527,533,4,207,145177,145384,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,S2C,pm10,519,547,12,524,145071,145595,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,C2S,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,C2S,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,C2S,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,world,7780,C2S,pm10,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,S2C,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,S2C,pm1_5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,S2C,pm3,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,S2C,pm5,,,0,0,,,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,S2C,pm10,539,539,1,113,1113,1226,high,authoritative oracle interval/window stream metadata
o004,whisper,side_control,10242,C2S,exact_second,,,0,0,,,high,authoritative oracle interval/window stream metadata
