decoder_id,negative_id,start_time,end_time,independent_window,executed,collision,confidence,reason
none,n001,2026-07-13 21:16:57.078,2026-07-13 21:16:58.078,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n002,2026-07-13 21:17:05.274,2026-07-13 21:17:06.274,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n003,2026-07-13 21:17:13.470,2026-07-13 21:17:14.470,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n004,2026-07-13 21:17:46.254,2026-07-13 21:17:47.254,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n005,2026-07-13 21:17:54.450,2026-07-13 21:17:55.450,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n006,2026-07-13 21:18:10.842,2026-07-13 21:18:11.842,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n007,2026-07-13 21:18:27.234,2026-07-13 21:18:28.234,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n008,2026-07-13 21:18:35.430,2026-07-13 21:18:36.430,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n009,2026-07-13 21:18:43.626,2026-07-13 21:18:44.626,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n010,2026-07-13 21:18:51.822,2026-07-13 21:18:52.822,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n011,2026-07-13 21:19:00.018,2026-07-13 21:19:01.018,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n012,2026-07-13 21:19:08.214,2026-07-13 21:19:09.214,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n013,2026-07-13 21:19:40.998,2026-07-13 21:19:41.998,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n014,2026-07-13 21:19:49.194,2026-07-13 21:19:50.194,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n015,2026-07-13 21:19:57.390,2026-07-13 21:19:58.390,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n016,2026-07-13 21:20:30.174,2026-07-13 21:20:31.174,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n017,2026-07-13 21:20:38.370,2026-07-13 21:20:39.370,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n018,2026-07-13 21:21:19.349,2026-07-13 21:21:20.349,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n019,2026-07-13 21:21:27.545,2026-07-13 21:21:28.545,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n020,2026-07-13 21:21:43.937,2026-07-13 21:21:44.937,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n021,2026-07-13 21:21:52.133,2026-07-13 21:21:53.133,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n022,2026-07-13 21:22:00.329,2026-07-13 21:22:01.329,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n023,2026-07-13 21:22:08.525,2026-07-13 21:22:09.525,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n024,2026-07-13 21:22:16.721,2026-07-13 21:22:17.721,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n025,2026-07-13 21:22:24.917,2026-07-13 21:22:25.917,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n026,2026-07-13 21:22:33.113,2026-07-13 21:22:34.113,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n027,2026-07-13 21:22:41.309,2026-07-13 21:22:42.309,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n028,2026-07-13 21:22:57.701,2026-07-13 21:22:58.701,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n029,2026-07-13 21:23:05.897,2026-07-13 21:23:06.897,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n030,2026-07-13 21:23:38.681,2026-07-13 21:23:39.681,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n031,2026-07-13 21:24:11.465,2026-07-13 21:24:12.465,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n032,2026-07-13 21:24:19.661,2026-07-13 21:24:20.661,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n033,2026-07-13 21:24:36.053,2026-07-13 21:24:37.053,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
none,n034,2026-07-13 21:24:44.249,2026-07-13 21:24:45.249,true,false,false,high,independent negative window; no decoder generated when no holdout survivor exists
