seed_address,function_entry,function_name,resolved,role,error
0x11B56C63,0x11B56C63,thunk_FUN_11b57075,true,seed,
0x11B50330,0x11B50330,FUN_11b50330,true,seed,
0x1195DA7B,0x1195DA7B,thunk_FUN_11b50330,true,seed,
0x11B52CE5,0x11B52CE5,thunk_FUN_11b45846,true,seed,
0x11B45846,0x11B45846,FUN_11b45846,true,seed,
0x11B5625B,0x11B5625B,FUN_11b5625b,true,seed,
0x11B57075,0x11B57075,FUN_11b57075,true,control_flow_waypoint,
