frame,time_local,direction,src_ip,src_port,dst_ip,dst_port,tcp_len,near_marker,role_guess
76,2026-07-13 17:23:15.903,S2C,51.83.147.97,10242,192.168.178.127,57497,233,,chat_sidechannel_candidate
77,2026-07-13 17:23:15.904,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
78,2026-07-13 17:23:25.593,C2S,192.168.178.127,57497,51.83.147.97,10242,22,S2C_ORACLE_004_REPEAT,chat_sidechannel_candidate
79,2026-07-13 17:23:25.624,S2C,51.83.147.97,10242,192.168.178.127,57497,0,S2C_ORACLE_004_REPEAT,chat_sidechannel_candidate
80,2026-07-13 17:23:35.593,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
81,2026-07-13 17:23:35.624,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
82,2026-07-13 17:23:40.882,S2C,51.83.147.97,10242,192.168.178.127,57497,247,,chat_sidechannel_candidate
83,2026-07-13 17:23:40.882,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
84,2026-07-13 17:23:45.594,C2S,192.168.178.127,57497,51.83.147.97,10242,22,S2C_ORACLE_004_REPEAT,chat_sidechannel_candidate
85,2026-07-13 17:23:45.626,S2C,51.83.147.97,10242,192.168.178.127,57497,0,S2C_ORACLE_004_REPEAT,chat_sidechannel_candidate
86,2026-07-13 17:23:55.594,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
87,2026-07-13 17:23:55.625,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
88,2026-07-13 17:23:58.015,S2C,51.83.147.97,10242,192.168.178.127,57497,267,,chat_sidechannel_candidate
89,2026-07-13 17:23:58.015,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
90,2026-07-13 17:24:05.595,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
91,2026-07-13 17:24:05.626,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
92,2026-07-13 17:24:11.239,S2C,51.83.147.97,10242,192.168.178.127,57497,247,,chat_sidechannel_candidate
93,2026-07-13 17:24:11.240,C2S,192.168.178.127,57497,51.83.147.97,10242,0,,chat_sidechannel_candidate
94,2026-07-13 17:24:15.596,C2S,192.168.178.127,57497,51.83.147.97,10242,22,S2C_ORACLE_001_A1B2G,chat_sidechannel_candidate
95,2026-07-13 17:24:15.626,S2C,51.83.147.97,10242,192.168.178.127,57497,0,S2C_ORACLE_001_A1B2G,chat_sidechannel_candidate
96,2026-07-13 17:24:25.597,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
97,2026-07-13 17:24:25.627,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
98,2026-07-13 17:24:35.598,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
99,2026-07-13 17:24:35.631,S2C,51.83.147.97,10242,192.168.178.127,57497,0,,chat_sidechannel_candidate
100,2026-07-13 17:24:45.598,C2S,192.168.178.127,57497,51.83.147.97,10242,22,,chat_sidechannel_candidate
