field,value
phase,636
pcap_found,True
pcap_name,startup_world_open_kxseq.pcapng
s2c_packets_indexed,163
c2s_packets_indexed,39
crib_messages_tested,0
crib_offsets_tested,17
consistent_candidates,0
all_8_candidates,0
top_decoded,0
keys_recovered,0
s2c_plaintext_recovered,False
best_frame,
best_label,
best_score,0
s2c_keyroll_validated,False
motd_phase5_candidates,2705
