module,source_path,candidate_type,callsite_or_offset,rcx,rdx,r8,r9,stack_args,confidence,reason
installed_game.dll,C:\Program Files (x86)\EuroAion\bin64\game.dll,string_or_import_evidence,0xE91A3;0x6D3527;0x7C6,,,,,,medium,"offline static evidence only: 3 strings, 3 imports; exact x64 args not recovered without disassembly-backed callsite"
installed_aegisty64.bin,C:\Program Files (x86)\EuroAion\bin64\aegisty64.bin,string_or_import_evidence,0x1CDA7E;0x1CDA5E;0x1CDA6C;0x1CDA7E;0x1CDA8C;0x1CDA9E,,,,,,low,"offline static evidence only: 6 strings, 0 imports; exact x64 args not recovered without disassembly-backed callsite"
installed_SecureEngineSDK64.dll,C:\Program Files (x86)\EuroAion\bin64\SecureEngineSDK64.dll,string_or_import_evidence,0x728,,,,,,low,"offline static evidence only: 1 strings, 0 imports; exact x64 args not recovered without disassembly-backed callsite"
handover_game.dll,C:\tmp\pass665_extract\euroaion_handover_2026-07-15\inputs\game.dll,string_or_import_evidence,0xE91A3;0x6D3527;0x7C6,,,,,,medium,"offline static evidence only: 3 strings, 3 imports; exact x64 args not recovered without disassembly-backed callsite"
handover_aegisty64.bin,C:\tmp\pass665_extract\euroaion_handover_2026-07-15\inputs\aegisty64.bin,string_or_import_evidence,0x1CDA7E;0x1CDA5E;0x1CDA6C;0x1CDA7E;0x1CDA8C;0x1CDA9E,,,,,,low,"offline static evidence only: 6 strings, 0 imports; exact x64 args not recovered without disassembly-backed callsite"
