file_name,file_size,category,notes
1195D94A_entry.decomp.txt,182,decompile_export,Java Pass632 export output
1195D94A_entry.disasm.txt,26,disassembly_export,Java Pass632 export output
1195D94A_entry.pcode.txt,45,pcode_export,Java Pass632 export output
11B45846_FUN_11b45846.decomp.txt,189,decompile_export,Java Pass632 export output
11B45846_FUN_11b45846.disasm.txt,254,disassembly_export,Java Pass632 export output
11B45846_FUN_11b45846.pcode.txt,1438,pcode_export,Java Pass632 export output
11B52CE5_thunk_FUN_11b45846.decomp.txt,195,decompile_export,Java Pass632 export output
11B52CE5_thunk_FUN_11b45846.disasm.txt,26,disassembly_export,Java Pass632 export output
11B52CE5_thunk_FUN_11b45846.pcode.txt,45,pcode_export,Java Pass632 export output
11B5586B_FUN_11b5586b.decomp.txt,67,decompile_export,Java Pass632 export output
11B5586B_FUN_11b5586b.disasm.txt,51,disassembly_export,Java Pass632 export output
11B5586B_FUN_11b5586b.pcode.txt,750,pcode_export,Java Pass632 export output
11B5625B_FUN_11b5625b.decomp.txt,654,decompile_export,Java Pass632 export output
11B5625B_FUN_11b5625b.disasm.txt,1400,disassembly_export,Java Pass632 export output
11B5625B_FUN_11b5625b.pcode.txt,35133,pcode_export,Java Pass632 export output
11B566DD_FUN_11b566dd.decomp.txt,67,decompile_export,Java Pass632 export output
11B566DD_FUN_11b566dd.disasm.txt,26,disassembly_export,Java Pass632 export output
11B566DD_FUN_11b566dd.pcode.txt,45,pcode_export,Java Pass632 export output
11B56999_FUN_11b56999.decomp.txt,73,decompile_export,Java Pass632 export output
11B56999_FUN_11b56999.disasm.txt,247,disassembly_export,Java Pass632 export output
11B56999_FUN_11b56999.pcode.txt,2079,pcode_export,Java Pass632 export output
11B56C63_thunk_FUN_11b57075.decomp.txt,225,decompile_export,Java Pass632 export output
11B56C63_thunk_FUN_11b57075.disasm.txt,26,disassembly_export,Java Pass632 export output
11B56C63_thunk_FUN_11b57075.pcode.txt,45,pcode_export,Java Pass632 export output
11B56F43_FUN_11b56f43.decomp.txt,226,decompile_export,Java Pass632 export output
11B56F43_FUN_11b56f43.disasm.txt,221,disassembly_export,Java Pass632 export output
11B56F43_FUN_11b56f43.pcode.txt,7859,pcode_export,Java Pass632 export output
11B5863D_FUN_11b5863d.decomp.txt,307,decompile_export,Java Pass632 export output
11B5863D_FUN_11b5863d.disasm.txt,396,disassembly_export,Java Pass632 export output
11B5863D_FUN_11b5863d.pcode.txt,12936,pcode_export,Java Pass632 export output
11B59337_FUN_11b59337.decomp.txt,67,decompile_export,Java Pass632 export output
11B59337_FUN_11b59337.disasm.txt,192,disassembly_export,Java Pass632 export output
11B59337_FUN_11b59337.pcode.txt,1803,pcode_export,Java Pass632 export output
11B59392_FUN_11b59392.decomp.txt,67,decompile_export,Java Pass632 export output
11B59392_FUN_11b59392.disasm.txt,304,disassembly_export,Java Pass632 export output
11B59392_FUN_11b59392.pcode.txt,8005,pcode_export,Java Pass632 export output
11B59832_FUN_11b59832.decomp.txt,67,decompile_export,Java Pass632 export output
11B59832_FUN_11b59832.disasm.txt,46,disassembly_export,Java Pass632 export output
11B59832_FUN_11b59832.pcode.txt,265,pcode_export,Java Pass632 export output
11B59838_FUN_11b59838.decomp.txt,67,decompile_export,Java Pass632 export output
11B59838_FUN_11b59838.disasm.txt,122,disassembly_export,Java Pass632 export output
11B59838_FUN_11b59838.pcode.txt,2145,pcode_export,Java Pass632 export output
ghidra_pass631_xrefs.log,11858,log,old failed Python export log
ghidra_pass632_java_xrefs.log,10256,log,Java exporter log
path_b_call_edges.csv,1007,csv_index,Java Pass632 export output
path_b_functions.csv,807,csv_index,Java Pass632 export output
path_b_import_refs.csv,305,csv_index,Java Pass632 export output
path_b_manifest.json,99,manifest,Java Pass632 export output
path_b_xrefs.csv,1119,csv_index,Java Pass632 export output
