flow_id,server_ip,server_port,client_ip,client_port,packets,total_tcp_payload_bytes,s2c_packets,c2s_packets,s2c_payload_bytes,c2s_payload_bytes,first_time,last_time,duration_sec,role_guess,confidence,reason
192.168.178.127:49357<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49357,22,4154,10,12,3863,291,2026-07-13 19:27:07.647,2026-07-13 19:27:08.157,0.510,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54909<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,54909,20,4153,8,12,3862,291,2026-07-13 19:24:39.581,2026-07-13 19:24:39.852,0.271,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54910<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,54910,19,4153,8,11,3862,291,2026-07-13 19:24:39.840,2026-07-13 19:24:40.080,0.240,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63020<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,63020,20,4153,8,12,3862,291,2026-07-13 19:25:20.538,2026-07-13 19:25:20.833,0.296,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49343<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49343,20,4153,8,12,3862,291,2026-07-13 19:26:30.014,2026-07-13 19:26:30.313,0.299,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57180<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57180,20,4153,8,12,3862,291,2026-07-13 19:28:21.815,2026-07-13 19:28:22.076,0.262,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57883<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57883,20,4152,8,12,3861,291,2026-07-13 19:24:14.621,2026-07-13 19:24:14.882,0.261,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50076<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,50076,20,4152,8,12,3861,291,2026-07-13 19:25:06.923,2026-07-13 19:25:07.197,0.275,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54159<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,54159,20,4152,8,12,3861,291,2026-07-13 19:26:07.989,2026-07-13 19:26:08.250,0.261,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49342<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49342,20,4152,8,12,3861,291,2026-07-13 19:26:29.741,2026-07-13 19:26:30.025,0.284,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49344<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49344,20,4152,8,12,3861,291,2026-07-13 19:26:30.302,2026-07-13 19:26:30.566,0.264,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57184<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57184,20,4152,8,12,3861,291,2026-07-13 19:28:23.364,2026-07-13 19:28:23.665,0.301,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:52604<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,52604,20,4151,8,12,3860,291,2026-07-13 19:27:40.822,2026-07-13 19:27:41.112,0.289,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57884<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57884,22,4150,10,12,3859,291,2026-07-13 19:24:14.872,2026-07-13 19:24:15.129,0.257,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50075<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,50075,20,4150,8,12,3859,291,2026-07-13 19:25:06.626,2026-07-13 19:25:06.935,0.309,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:57193<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,57193,20,4150,8,12,3859,291,2026-07-13 19:28:30.433,2026-07-13 19:28:30.692,0.259,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:54161<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,54161,21,4147,9,12,3856,291,2026-07-13 19:26:15.409,2026-07-13 19:26:15.650,0.241,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49346<->172.64.155.209:443,172.64.155.209,443,192.168.178.127,49346,20,4147,8,12,3856,291,2026-07-13 19:26:50.496,2026-07-13 19:26:50.866,0.370,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:49358<->3.221.81.186:443,3.221.81.186,443,192.168.178.127,49358,19,3787,9,10,3478,309,2026-07-13 19:27:17.379,2026-07-13 19:27:17.934,0.555,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:60256<->157.240.0.60:443,157.240.0.60,443,192.168.178.127,60256,74,3773,25,49,1768,2005,2026-07-13 19:23:24.666,2026-07-13 19:32:25.757,541.092,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:61436<->172.64.148.235:443,172.64.148.235,443,192.168.178.127,61436,37,3334,17,20,2945,389,2026-07-13 19:30:48.330,2026-07-13 19:32:28.459,100.129,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50913<->3.254.239.161:443,3.254.239.161,443,192.168.178.127,50913,32,2448,18,14,1228,1220,2026-07-13 19:24:03.125,2026-07-13 19:26:18.060,134.935,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:53110<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,53110,34,2190,18,16,1244,946,2026-07-13 19:29:17.999,2026-07-13 19:30:20.776,62.776,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:50927<->195.201.171.83:80,195.201.171.83,80,192.168.178.127,50927,1136,2081,0,0,0,0,2026-07-13 19:23:28.974,2026-07-13 19:23:34.446,5.472,ignored_external_noise,low,not a EuroAion world/chat/login candidate
192.168.178.127:63786<->116.203.174.73:443,116.203.174.73,443,192.168.178.127,63786,27,2037,11,16,1091,946,2026-07-13 19:30:17.996,2026-07-13 19:30:24.766,6.769,ignored_external_noise,low,not a EuroAion world/chat/login candidate
