parser_id,negative_window_id,window_time,packet_count,total_bytes,negative_score,confidence,reason
cm003,n014,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n015,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n016,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n017,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n018,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n019,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n020,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n021,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n022,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n023,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n024,2026-07-13 21:17:00.915,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n025,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n026,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n027,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n028,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n029,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n030,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n031,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n032,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n033,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm003,n034,2026-07-13 21:17:00.977,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n001,2026-07-13 21:16:57.078,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n002,2026-07-13 21:16:57.144,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n003,2026-07-13 21:16:57.165,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n004,2026-07-13 21:16:57.188,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n005,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n006,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n007,2026-07-13 21:16:57.289,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n008,2026-07-13 21:16:57.356,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n009,2026-07-13 21:16:57.835,10,3037,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n010,2026-07-13 21:17:00.785,104,129344,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n011,2026-07-13 21:17:00.845,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n012,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n013,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n014,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n015,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n016,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n017,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n018,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n019,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n020,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n021,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n022,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n023,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n024,2026-07-13 21:17:00.915,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n025,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n026,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n027,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n028,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n029,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n030,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n031,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n032,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n033,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm004,n034,2026-07-13 21:17:00.977,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n001,2026-07-13 21:16:57.078,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n002,2026-07-13 21:16:57.144,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n003,2026-07-13 21:16:57.165,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n004,2026-07-13 21:16:57.188,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n005,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n006,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n007,2026-07-13 21:16:57.289,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n008,2026-07-13 21:16:57.356,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n009,2026-07-13 21:16:57.835,10,3037,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n010,2026-07-13 21:17:00.785,104,129344,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n011,2026-07-13 21:17:00.845,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n012,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n013,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n014,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n015,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n016,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n017,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n018,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n019,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n020,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n021,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n022,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n023,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n024,2026-07-13 21:17:00.915,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n025,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n026,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n027,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n028,2026-07-13 21:17:00.935,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n029,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n030,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n031,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n032,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n033,2026-07-13 21:17:00.959,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm005,n034,2026-07-13 21:17:00.977,104,129343,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n001,2026-07-13 21:16:57.078,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n002,2026-07-13 21:16:57.144,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n003,2026-07-13 21:16:57.165,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n004,2026-07-13 21:16:57.188,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n005,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n006,2026-07-13 21:16:57.217,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n007,2026-07-13 21:16:57.289,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n008,2026-07-13 21:16:57.356,9,3026,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n009,2026-07-13 21:16:57.835,10,3037,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n010,2026-07-13 21:17:00.785,104,129344,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n011,2026-07-13 21:17:00.845,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n012,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n013,2026-07-13 21:17:00.867,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n014,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n015,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n016,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n017,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n018,2026-07-13 21:17:00.893,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n019,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n020,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
cm006,n021,2026-07-13 21:17:00.914,103,129335,1.0,medium,unrelated negative-control window scored for discrimination
