parser_id,oracle_id,channel,window_model,packet_count,total_bytes,score,confidence,reason
cm004,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o016,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm004,o017,local,pm3,1,63,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o001,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o002,whisper,pm3,5,206,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o003,whisper,pm3,5,449,1.0,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o004,whisper,pm3,4,207,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o005,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o006,whisper,pm3,4,223,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o007,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o008,whisper,pm3,4,239,0.8,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o009,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o010,group,pm3,1,87,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o011,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o012,group,pm3,1,103,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o013,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o014,group,pm3,1,119,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
cm005,o015,group,pm3,1,135,0.2,medium,parser oracle score uses generated parser plus authoritative window metadata
