filename,function_address,function_name,export_type,size,line_count,parse_status,target_association,keyslot_association,contains_store,contains_load,contains_call,local_only_source
11B56F43_FUN_11b56f43.decomp.txt,11B56F43,FUN_11b56f43,decompile,226,16,parsed,P622-GH-004,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B56F43_FUN_11b56f43.disasm.txt,11B56F43,FUN_11b56f43,disassembly,232,1,parsed,P622-GH-004,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B56F43_FUN_11b56f43.pcode.txt,11B56F43,FUN_11b56f43,p-code,7962,1,parsed,P622-GH-004,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57075_FUN_11b57075.decomp.txt,11B57075,FUN_11b57075,decompile,219,19,parsed,P622-GH-018,P622-KS-008,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57075_FUN_11b57075.disasm.txt,11B57075,FUN_11b57075,disassembly,798,1,parsed,P622-GH-018,P622-KS-008,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57075_FUN_11b57075.pcode.txt,11B57075,FUN_11b57075,p-code,5226,1,parsed,P622-GH-018,P622-KS-008,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57BDB_FUN_11b57bdb.decomp.txt,11B57BDB,FUN_11b57bdb,decompile,217,16,parsed,P622-GH-010,P622-KS-005,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57BDB_FUN_11b57bdb.disasm.txt,11B57BDB,FUN_11b57bdb,disassembly,495,1,parsed,P622-GH-010,P622-KS-005,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B57BDB_FUN_11b57bdb.pcode.txt,11B57BDB,FUN_11b57bdb,p-code,15587,1,parsed,P622-GH-010,P622-KS-005,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B581C1_FUN_11b581c1.decomp.txt,11B581C1,FUN_11b581c1,decompile,694,37,parsed,P622-GH-009,P622-KS-004,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B581C1_FUN_11b581c1.disasm.txt,11B581C1,FUN_11b581c1,disassembly,1662,1,parsed,P622-GH-009,P622-KS-004,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B581C1_FUN_11b581c1.pcode.txt,11B581C1,FUN_11b581c1,p-code,44022,1,parsed,P622-GH-009,P622-KS-004,True,True,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5863D_FUN_11b5863d.decomp.txt,11B5863D,FUN_11b5863d,decompile,307,17,parsed,P622-GH-005,P622-KS-001,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5863D_FUN_11b5863d.disasm.txt,11B5863D,FUN_11b5863d,disassembly,413,1,parsed,P622-GH-005,P622-KS-001,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B5863D_FUN_11b5863d.pcode.txt,11B5863D,FUN_11b5863d,p-code,13104,1,parsed,P622-GH-005,P622-KS-001,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B58D6C_FUN_11b58d6c.decomp.txt,11B58D6C,FUN_11b58d6c,decompile,67,8,parsed,P622-GH-027,P622-KS-010,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B58D6C_FUN_11b58d6c.disasm.txt,11B58D6C,FUN_11b58d6c,disassembly,692,1,parsed,P622-GH-027,P622-KS-010,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B58D6C_FUN_11b58d6c.pcode.txt,11B58D6C,FUN_11b58d6c,p-code,23399,1,parsed,P622-GH-027,P622-KS-010,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59337_FUN_11b59337.decomp.txt,11B59337,FUN_11b59337,decompile,67,8,parsed,P622-GH-022,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59337_FUN_11b59337.disasm.txt,11B59337,FUN_11b59337,disassembly,201,1,parsed,P622-GH-022,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59337_FUN_11b59337.pcode.txt,11B59337,FUN_11b59337,p-code,1828,1,parsed,P622-GH-022,,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59392_FUN_11b59392.decomp.txt,11B59392,FUN_11b59392,decompile,67,8,parsed,P622-GH-007,P622-KS-003,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59392_FUN_11b59392.disasm.txt,11B59392,FUN_11b59392,disassembly,317,1,parsed,P622-GH-007,P622-KS-003,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59392_FUN_11b59392.pcode.txt,11B59392,FUN_11b59392,p-code,8111,1,parsed,P622-GH-007,P622-KS-003,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59765_FUN_11b59765.decomp.txt,11B59765,FUN_11b59765,decompile,67,8,parsed,P622-GH-023,P622-KS-009,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59765_FUN_11b59765.disasm.txt,11B59765,FUN_11b59765,disassembly,131,1,parsed,P622-GH-023,P622-KS-009,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59765_FUN_11b59765.pcode.txt,11B59765,FUN_11b59765,p-code,543,1,parsed,P622-GH-023,P622-KS-009,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59838_FUN_11b59838.decomp.txt,11B59838,FUN_11b59838,decompile,67,8,parsed,P622-GH-016,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59838_FUN_11b59838.disasm.txt,11B59838,FUN_11b59838,disassembly,127,1,parsed,P622-GH-016,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
11B59838_FUN_11b59838.pcode.txt,11B59838,FUN_11b59838,p-code,2174,1,parsed,P622-GH-016,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
analyze_once_stderr.log,,,metadata,967,7,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
analyze_once_stdout.log,,,metadata,6174,79,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
call_edges.csv,,,metadata,2159,38,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
candidate_functions.csv,,,metadata,4293,28,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
diag_stderr.log,,,metadata,967,7,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
diag_stdout.log,,,metadata,3909,42,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
export_manifest.txt,,,metadata,52,4,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
ghidra_headless_run.log,,,metadata,1048,11,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
ghidra_stderr_java.log,,,metadata,967,7,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
ghidra_stdout_java.log,,,metadata,3930,42,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
import_refs.csv,,,metadata,629,12,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
program_diagnostics.txt,,,metadata,5477,112,parsed,,,False,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
write_hints.csv,,,metadata,4163,15,parsed,,,True,False,False,C:\AionTools\aion_decoder_agent\outbox\pass622_ghidra_s2c_receive_exports
