"step","path","exists","would_run","creates_raw_output"
"check_pcap","C:\AionTools\aion_decoder_agent\inbox\captures\s2c_oracle_world_entry.pcapng","True","input_check","False"
"check_known_log","C:\AionTools\aion_decoder_agent\inbox\captures\s2c_oracle_known_plaintext_log.txt","True","input_check","False"
"capture_validator","C:\AionTools\aion-agent-bridge\tools\pass637_capture_kit\validate_capture_presence.py","True","python tools/pass637_capture_kit/validate_capture_presence.py","False"
"known_log_validator","C:\AionTools\aion-agent-bridge\tools\pass638_after_capture\validate_known_plaintext_log.py","True","python tools/pass638_after_capture/validate_known_plaintext_log.py","False"
"s2c_window_extractor","C:\AionTools\aion-agent-bridge\tools\pass638_after_capture\extract_s2c_window_metadata.py","True","python tools/pass638_after_capture/extract_s2c_window_metadata.py <pcap> <known_log> artifacts/pass638_s2c_window_inventory.csv","False"
"s2c_crib_oracle","C:\AionTools\aion-agent-bridge\tools\pass636_antigravity_s2c_oracle\s2c_crib_drag_oracle.py","True","python tools/pass636_antigravity_s2c_oracle/s2c_crib_drag_oracle.py <pcap> artifacts/pass638_s2c_crib_candidates.csv","False"
"s2c_decode_candidates","C:\AionTools\aion-agent-bridge\tools\pass636_antigravity_s2c_oracle\s2c_decode_from_oracle.py","True","python tools/pass636_antigravity_s2c_oracle/s2c_decode_from_oracle.py <pcap> artifacts/pass638_s2c_crib_candidates.csv","False"
"keyroll_validation","C:\AionTools\aion-agent-bridge\tools\pass636_antigravity_s2c_oracle\s2c_keyroll_validate.py","True","run only if candidate validates; current tool is hard-coded to Pass636 capture","False"
