marker_index,marker_text,occurrence_index,nearest_c2s22_frame,c2s_delta_ms,prev_c2s22_delta_ms,next_c2s22_delta_ms,c2s22_pattern_class,repeat_pattern_consistent,confidence,reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,1,442,-327,-10327,9674,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
2,S2C_A_0001_XXXXXXXXXXXXXXXX,2,462,-585,-10586,9416,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,1,508,1963,-8039,11963,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,2,535,3660,-6340,13660,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1,617,-2663,-12664,7338,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2,647,3765,-6235,13766,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1,692,-3542,-13543,6459,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2,714,-3901,-13902,6099,z20_nz2,true,medium,nearest 22-byte C2S timing and byte-class pattern only
