marker_index,marker_text,expected_timestamp,predicted_event_frame,predicted_event_time,delta_ms,score,confidence,false_positive_penalty,features_used,label_reason
1,S2C_A_0001_XXXXXXXXXXXXXXXX,2026-07-13 21:17:25.468,442,2026-07-13 21:17:25.141,-327,0.533,medium,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=230;dir_seq=C;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
2,S2C_A_0001_XXXXXXXXXXXXXXXX,2026-07-13 21:17:35.727,462,2026-07-13 21:17:35.141,-585,0.533,medium,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=219;dir_seq=C;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:18:03.182,508,2026-07-13 21:18:05.144,1963,0.305,low,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=0;dir_seq=C;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:18:21.485,535,2026-07-13 21:18:25.144,3660,0.18,low,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=113;dir_seq=;len_seq_present=False,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:19:17.810,617,2026-07-13 21:19:15.146,-2663,0.23,low,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=131;dir_seq=C;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:19:31.383,647,2026-07-13 21:19:35.148,3765,0.38,low,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=205;s2c_5s=205;dir_seq=S;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:20:08.692,692,2026-07-13 21:20:05.150,-3542,0.49,medium,0.107,c2s22_delta;cadence_prev_next;s2c_1s=179;s2c_3s=547;s2c_5s=754;dir_seq=SSS;len_seq_present=True,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2026-07-13 21:20:19.052,714,2026-07-13 21:20:15.151,-3901,0.14,low,0.107,c2s22_delta;cadence_prev_next;s2c_1s=0;s2c_3s=0;s2c_5s=0;dir_seq=;len_seq_present=False,"v2 score combines c2s22 timing, cadence, nearby s2c batch metadata, sequence signatures, and baseline penalty"
