model_id,pair_name,oracle_a,oracle_b,frame_count_a,frame_count_b,total_bytes_a,total_bytes_b,length_sequence_a,length_sequence_b,repeat_consistent,unrelated_window_collision_rate,confidence,reason
fm03409,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03409,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03412,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03413,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03416,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03610,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03611,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03614,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03615,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03218,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03219,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03222,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03223,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03612,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03616,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03217,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03221,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03220,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03224,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03609,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,whisper_0004,o007,o008,4,4,239,239,21-15-133-70,133-21-15-70,false,0.75,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,group_0001,o009,o010,1,1,87,87,87,87,true,0.6,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,group_0002,o011,o012,1,1,103,103,103,103,true,0.5,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,group_0003,o013,o014,1,1,119,119,119,119,true,0.429,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03613,group_0004,o015,o016,1,1,135,135,135,135,true,0.375,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03154,whisper_0001,o001,o002,5,5,206,206,21-15-70-85-15,21-15-70-85-15,true,0.0,medium,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03154,whisper_0002,o003,o004,5,4,449,207,14-47-101-70-217,21-15-101-70,false,0.5,low,repeated identical message compared against world S2C +/-3s packet/burst signature
fm03154,whisper_0003,o005,o006,4,4,223,223,70-117-21-15,117-21-15-70,false,0.667,low,repeated identical message compared against world S2C +/-3s packet/burst signature
