packet_no,anchor_packet_no,tcp_stream,direction,payload_len,payload_hex,key_name,key8_hex,order_variant,status,length_le,length_sane,opcode_hex,opcode_complement_ok,utf16le_or_ascii_containment,matched_messages,decoded_prefix_hex,decoded_prefix_ascii,notes
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_0,tested,22379,no,D2,no,no,,6b57d227d4b5623486d05367a7941806cc84db768e,kW.'..b4..Sg.......v.,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_0_preupdate_1,tested,59173,no,36,no,no,,25e736718e0faaf3e0f1c958d15eebe5d6b83619d1,%.6q.......X.^....6..,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_le_tail_be,3990c5a287546ca1,XORpass_only_offset_2_preupdate_1,tested,22379,no,A7,no,no,,6b57a727d4b5623486d02667a7941806cc84ae768e,kW.'..b4..&g.......v.,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_0,tested,45769,no,63,no,no,,c9b263ea8e0faaf30ca49cc3d15eebe53aed6382d1,..c..........^..:.c..,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_0,tested,22379,no,49,no,no,,6b574972812e623486d0c832f20f1806cc844023db,kWIr..b4...2......@#.,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_0_preupdate_1,tested,45788,no,63,no,no,,dcb263ea8e0faaf319a49cc3d15eebe52fed6382d1,..c..........^../.c..,public staticKey XORpass only
9760,9741,105,S2C,21,6b57eb174971c3c05e7e2492a6dc2103d99a3ab7af,seed_be_tail_be,a2c5903987546ca1,XORpass_only_offset_2_preupdate_1,tested,22379,no,5E,no,no,,6b575e72812e623486d0df32f20f1806cc845723db,kW^r..b4...2......W#.,public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_0,tested,51490,no,77,no,no,,22c97766093488f5c2f60f75524b5f,""".wf.4.....uRK_",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_0,tested,2331,no,CD,no,no,,1b09cd3075b65e2cebf1954a02b9b2,"...0u.^,...J...",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_0_preupdate_1,tested,51539,no,77,no,no,,53c97766093488f5b3f60f75524b5f,S.wf.4.....uRK_,public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_le_tail_le,3990c5a2a16c5487,XORpass_only_offset_2_preupdate_1,tested,2331,no,B2,no,no,,1b09b23075b65e2cebf1ea4a02b9b2,"...0u.^,...J...",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,Blowfish_then_XORpass,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,XORpass_then_Blowfish,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,Blowfish_only,not_run_blowfish_library_unavailable,,,,,no,,,,No local Python Blowfish/Crypto/cryptography/openssl provider was available; no unknown binaries were run.
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_0_preupdate_0,tested,40121,no,22,no,no,,b99c22fd093488f559a35aee524b5f,"..""..4..Y.Z.RK_",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_2_preupdate_0,tested,2331,no,56,no,no,,1b095665202d5e2cebf10e1f5722b2,"..Ve -^,....W"".",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_0_preupdate_1,tested,40106,no,22,no,no,,aa9c22fd093488f54aa35aee524b5f,"..""..4..J.Z.RK_",public staticKey XORpass only
9762,9741,105,S2C,15,1b09f41fe0db73509bbc20bb2a7d0c,seed_be_tail_le,a2c59039a16c5487,XORpass_only_offset_2_preupdate_1,tested,2331,no,5B,no,no,,1b095b65202d5e2cebf1031f5722b2,"..[e -^,....W"".",public staticKey XORpass only
