oracle_id,channel,direction,tier,stream_offset_start,stream_offset_end,packet_count,total_bytes,ambiguity_count,confidence,reason
o014,group,S2C,pm1_5,150082,150201,1,119,0,high,authoritative interval mapped to sequence-correct stream offsets
o014,group,S2C,pm3,150082,150201,1,119,0,high,authoritative interval mapped to sequence-correct stream offsets
o014,group,S2C,pm5,150082,150201,1,119,0,high,authoritative interval mapped to sequence-correct stream offsets
o015,group,S2C,exact_second,150217,150352,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o015,group,S2C,pm1_5,150217,150352,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o015,group,S2C,pm3,150217,150352,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o015,group,S2C,pm5,150217,150352,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o016,group,S2C,exact_second,150352,150487,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o016,group,S2C,pm1_5,150352,150487,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o016,group,S2C,pm3,150352,150487,1,135,0,high,authoritative interval mapped to sequence-correct stream offsets
o016,group,S2C,pm5,150352,150704,3,352,2,high,authoritative interval mapped to sequence-correct stream offsets
o017,local,S2C,exact_second,150704,150767,1,63,0,high,authoritative interval mapped to sequence-correct stream offsets
o017,local,S2C,pm1_5,150704,150767,1,63,0,high,authoritative interval mapped to sequence-correct stream offsets
o017,local,S2C,pm3,150704,150767,1,63,0,high,authoritative interval mapped to sequence-correct stream offsets
o017,local,S2C,pm5,150704,150767,1,63,0,high,authoritative interval mapped to sequence-correct stream offsets
o001,whisper,C2S,exact_second,,,0,0,0,low,authoritative interval mapped to sequence-correct stream offsets
o001,whisper,C2S,pm1_5,5536,5547,1,11,0,high,authoritative interval mapped to sequence-correct stream offsets
o001,whisper,C2S,pm3,5536,5547,1,11,0,high,authoritative interval mapped to sequence-correct stream offsets
o001,whisper,C2S,pm5,5536,5547,1,11,0,high,authoritative interval mapped to sequence-correct stream offsets
o002,whisper,C2S,exact_second,,,0,0,0,low,authoritative interval mapped to sequence-correct stream offsets
o002,whisper,C2S,pm1_5,,,0,0,0,low,authoritative interval mapped to sequence-correct stream offsets
