key_hex,plaintext_hex,expected_ciphertext_hex,actual_ciphertext_hex,encrypt_ok,decrypt_ok,roundtrip_ok,provider
0000000000000000,0000000000000000,4ef997456198dd78,4ef997456198dd78,yes,yes,yes,pure_python
ffffffffffffffff,ffffffffffffffff,51866fd5b85ecb8a,51866fd5b85ecb8a,yes,yes,yes,pure_python
3000000000000000,1000000000000001,7d856f9a613063f2,7d856f9a613063f2,yes,yes,yes,pure_python
