direction,stream_offset_start,stream_offset_end,frame_number,tcp_payload_len,tcp_seq_delta,ts_relative,overlap_or_retx,gap_before
S2C,69515,70975,4199,1460,69515,1581227008.000,false,false
S2C,70975,72435,4201,1460,70975,1581351936.000,false,false
S2C,72435,73895,4203,1460,72435,1581476864.000,false,false
S2C,73895,75355,4205,1460,73895,1581602048.000,false,false
S2C,75355,76815,4207,1460,75355,1581726976.000,false,false
S2C,76815,78275,4209,1460,76815,1581851904.000,false,false
S2C,78275,79735,4211,1460,78275,1581977600.000,false,false
S2C,79735,81195,4213,1460,79735,1582102272.000,false,false
S2C,81195,82655,4215,1460,81195,1582226944.000,false,false
S2C,82655,84115,4217,1460,82655,1582352128.000,false,false
S2C,84115,85575,4219,1460,84115,1582476800.000,false,false
S2C,85575,87035,4221,1460,85575,1582601984.000,false,false
S2C,87035,88495,4223,1460,87035,1582726912.000,false,false
S2C,88495,89955,4225,1460,88495,1582852096.000,false,false
S2C,89955,91415,4227,1460,89955,1582982656.000,false,false
S2C,91415,92875,4229,1460,91415,1583101696.000,false,false
S2C,92875,94335,4231,1460,92875,1583227136.000,false,false
S2C,94335,95795,4233,1460,94335,1583351552.000,false,false
S2C,95795,97255,4235,1460,95795,1584424192.000,false,false
S2C,97255,98715,4236,1460,97255,1584424960.000,false,false
S2C,98715,100175,4237,1460,98715,1584425472.000,false,false
S2C,100175,101635,4238,1460,100175,1584426240.000,false,false
S2C,101635,103095,4239,1460,101635,1584426496.000,false,false
S2C,103095,104555,4240,1460,103095,1584427008.000,false,false
S2C,104555,106015,4242,1460,104555,1589389824.000,false,false
S2C,106015,107475,4244,1460,106015,1589700096.000,false,false
S2C,107475,108935,4245,1460,107475,1589703424.000,false,false
S2C,108935,110395,4247,1460,108935,1589823744.000,false,false
S2C,110395,111855,4249,1460,110395,1589948416.000,false,false
S2C,111855,113315,4251,1460,111855,1590073344.000,false,false
S2C,113315,114775,4253,1460,113315,1590200576.000,false,false
S2C,114775,116235,4255,1460,114775,1590322944.000,false,false
S2C,116235,117695,4257,1460,116235,1590448384.000,false,false
S2C,117695,119155,4259,1460,117695,1590573312.000,false,false
S2C,119155,120615,4261,1460,119155,1590698240.000,false,false
S2C,120615,122075,4263,1460,120615,1590823168.000,false,false
S2C,122075,123535,4265,1460,122075,1590948096.000,false,false
S2C,123535,124995,4267,1460,123535,1591073792.000,false,false
S2C,124995,126455,4269,1460,124995,1591197696.000,false,false
S2C,126455,127915,4271,1460,126455,1591323392.000,false,false
S2C,127915,129344,4273,1429,127915,1591448320.000,false,false
S2C,129344,129352,4276,8,129344,1690418688.000,false,false
