handler_va,occurrence_count,first_instruction,classification,notes
0x0000000011B58D1E,2,"LEA RAX, [RAX + 0x3ecb1167]",pointer_update,"First: LEA RAX, [RAX + 0x3ecb1167] (opcodes: [63, 135])"
0x0000000011B56E2A,2,"BT AX, 0x1",shift_rotate,"First: BT AX, 0x1 (opcodes: [90, 193])"
0x0000000011B595D0,2,JMP 0x11b596f3,branch_dispatch,"First: JMP 0x11b596f3 (opcodes: [140, 204])"
0x0000000011B5701A,2,"XOR AL, DL",xor,"First: XOR AL, DL (opcodes: [169, 238])"
0x0000000011B59166,2,"MOV DH, BL",pointer_update,"First: MOV DH, BL (opcodes: [210, 219])"
0x0000000011B563DD,2,"RCR AH, 0x5",shift_rotate,"First: RCR AH, 0x5 (opcodes: [218, 240])"
0x0000000011B55B5D,1,"BT EDX, ESP",shift_rotate,"First: BT EDX, ESP (opcodes: [42])"
0x0000000011B54E0B,1,"ADD AL, AL",add_sub,"First: ADD AL, AL (opcodes: [43])"
0x0000000011B5890F,1,"MOVZX AX, BL",pointer_update,"First: MOVZX AX, BL (opcodes: [77])"
0x0000000011B55C2D,1,"SHR BH, CL",unknown,"First: SHR BH, CL (opcodes: [151])"
0x0000000011B5893D,1,"ADD DX, BP",add_sub,"First: ADD DX, BP (opcodes: [198])"
0x0000000011B58AEE,1,"ROR DL, CL",shift_rotate,"First: ROR DL, CL (opcodes: [202])"
0x0000000011B57405,1,JMP 0x11b58327,branch_dispatch,First: JMP 0x11b58327 (opcodes: [226])
