pair_id,base_marker,whisper_oracles,group_oracles,flow_role,server_port,direction,feature_name,whisper_feature,group_feature,difference_found,repeat_supported,confidence,reason
p040,0003,o005;o006,o013;o014,world,7780,C2S,pm3_direction_sequence,SSSS|SSSS,S|S,true,true,medium,controlled whisper/group comparison by base marker id
p041,0003,o005;o006,o013;o014,event_side,10242,S2C,nearest_len,131|205,101|101,true,false,medium,controlled whisper/group comparison by base marker id
p042,0003,o005;o006,o013;o014,event_side,10242,S2C,pm3_total_bytes,22|205,101|22,true,false,medium,controlled whisper/group comparison by base marker id
p043,0003,o005;o006,o013;o014,event_side,10242,S2C,pm3_packet_count,0|1,1|0,false,false,low,controlled whisper/group comparison by base marker id
p044,0003,o005;o006,o013;o014,event_side,10242,S2C,pm3_direction_sequence,C|S,S|C,false,false,low,controlled whisper/group comparison by base marker id
p045,0003,o005;o006,o013;o014,event_side,10242,C2S,nearest_len,22|22,22|22,false,true,medium,controlled whisper/group comparison by base marker id
p046,0003,o005;o006,o013;o014,event_side,10242,C2S,pm3_total_bytes,22|205,101|22,true,false,medium,controlled whisper/group comparison by base marker id
p047,0003,o005;o006,o013;o014,event_side,10242,C2S,pm3_packet_count,1|0,0|1,false,false,low,controlled whisper/group comparison by base marker id
p048,0003,o005;o006,o013;o014,event_side,10242,C2S,pm3_direction_sequence,C|S,S|C,false,false,low,controlled whisper/group comparison by base marker id
p049,0004,o007;o008,o015;o016,world,7780,S2C,nearest_len,70|133,135|135,true,false,medium,controlled whisper/group comparison by base marker id
p050,0004,o007;o008,o015;o016,world,7780,S2C,pm3_total_bytes,239|239,135|135,true,true,medium,controlled whisper/group comparison by base marker id
p051,0004,o007;o008,o015;o016,world,7780,S2C,pm3_packet_count,4|4,1|1,true,true,medium,controlled whisper/group comparison by base marker id
p052,0004,o007;o008,o015;o016,world,7780,S2C,pm3_direction_sequence,SSSS|SSSS,S|S,true,true,medium,controlled whisper/group comparison by base marker id
p053,0004,o007;o008,o015;o016,world,7780,C2S,nearest_len,9|9,56|56,true,true,medium,controlled whisper/group comparison by base marker id
p054,0004,o007;o008,o015;o016,world,7780,C2S,pm3_total_bytes,239|239,135|135,true,true,medium,controlled whisper/group comparison by base marker id
p055,0004,o007;o008,o015;o016,world,7780,C2S,pm3_packet_count,0|0,0|0,false,true,medium,controlled whisper/group comparison by base marker id
p056,0004,o007;o008,o015;o016,world,7780,C2S,pm3_direction_sequence,SSSS|SSSS,S|S,true,true,medium,controlled whisper/group comparison by base marker id
p057,0004,o007;o008,o015;o016,event_side,10242,S2C,nearest_len,179|259,125|125,true,false,medium,controlled whisper/group comparison by base marker id
p058,0004,o007;o008,o015;o016,event_side,10242,S2C,pm3_total_bytes,547|0,22|0,true,false,medium,controlled whisper/group comparison by base marker id
p059,0004,o007;o008,o015;o016,event_side,10242,S2C,pm3_packet_count,3|0,0|0,true,false,medium,controlled whisper/group comparison by base marker id
p060,0004,o007;o008,o015;o016,event_side,10242,S2C,pm3_direction_sequence,SSS|,C|,true,false,medium,controlled whisper/group comparison by base marker id
p061,0004,o007;o008,o015;o016,event_side,10242,C2S,nearest_len,22|22,22|22,false,true,medium,controlled whisper/group comparison by base marker id
p062,0004,o007;o008,o015;o016,event_side,10242,C2S,pm3_total_bytes,547|0,22|0,true,false,medium,controlled whisper/group comparison by base marker id
p063,0004,o007;o008,o015;o016,event_side,10242,C2S,pm3_packet_count,0|0,1|0,false,false,low,controlled whisper/group comparison by base marker id
p064,0004,o007;o008,o015;o016,event_side,10242,C2S,pm3_direction_sequence,SSS|,C|,true,false,medium,controlled whisper/group comparison by base marker id
