packet_no,timestamp,direction,len,message,session_phase,seed_context
7522,2026-07-08 17:01:52.960992,S2C,11,SM_KEY (Lobby),Lobby Initial,73 5A 12 08
8745,2026-07-08 17:03:02.166166,C2S,36,KXBOOT_SAY_01,Lobby Chat,73 5A 12 08
8844,2026-07-08 17:03:11.267519,C2S,70,KXBOOT_SAY_02_AAAAAAAAAAAAAAAA,Lobby Chat,73 5A 12 08
8974,2026-07-08 17:03:21.688937,C2S,58,KXBOOT_SAY_03_1234567890,Lobby Chat,73 5A 12 08
9741,2026-07-08 17:04:45.197172,S2C,11,SM_KEY (World Handoff),Post Re-Key,39 90 C5 A2
9816,2026-07-08 17:04:53.600809,C2S,9,Keepalive/Ping,Post Re-Key,39 90 C5 A2
