event_fingerprint_id,marker_text,occurrence_index,server_port,window_sec,length_sequence_signature,direction_sequence_signature,timing_bucket_signature,byte_class_signature,repeat_fingerprint_match,confidence,reason
fp_001,S2C_A_0001_XXXXXXXXXXXXXXXX,1,10242,5,S89-C22-S141,SCS,pre_late-pre_sub500-post_late,e3_z5_p3_u1-e0_z9_p0_u10-e3_z4_p4_u1,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_002,S2C_A_0001_XXXXXXXXXXXXXXXX,2,10242,5,S219-C22,SC,pre_late-pre_sub1500,e3_z4_p4_u0-e0_z9_p0_u10,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_003,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,1,10242,5,C22,C,post_sub3000,e0_z9_p0_u10,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_004,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,2,10242,5,C22-S113,CS,post_late-post_late,e0_z9_p0_u10-e3_z5_p4_u1,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_005,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1,10242,5,C22-S131,CS,pre_sub3000-post_late,e0_z9_p0_u10-e3_z5_p4_u1,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_006,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2,10242,5,S205-C22,SC,post_sub3000-post_late,e3_z5_p4_u0-e0_z9_p0_u10,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_007,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,1,10242,5,S207-C22-S237-S131-S179,SCSSS,pre_late-pre_late-pre_sub3000-pre_sub3000-post_sub500,e3_z5_p4_u0-e0_z9_p0_u10-e3_z5_p4_u0-e3_z5_p4_u1-e3_z5_p4_u0,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
fp_008,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,2,10242,5,C22,C,pre_late,e0_z9_p0_u10,false,medium,"safe metadata fingerprint: lengths, directions, timing buckets, byte-class bins only"
