item,value,confidence,reason
marker_1,S2C_A_0001_XXXXXXXXXXXXXXXX,high,len_ascii=27 time=2026-07-13 21:17:25.468
marker_2,S2C_A_0001_XXXXXXXXXXXXXXXX,high,len_ascii=27 time=2026-07-13 21:17:35.727
marker_3,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=35 time=2026-07-13 21:18:03.182
marker_4,S2C_A_0002_XXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=35 time=2026-07-13 21:18:21.485
marker_5,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=43 time=2026-07-13 21:19:17.810
marker_6,S2C_A_0003_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=43 time=2026-07-13 21:19:31.383
marker_7,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=51 time=2026-07-13 21:20:08.692
marker_8,S2C_A_0004_XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,high,len_ascii=51 time=2026-07-13 21:20:19.052
