path_id,start,end,hop_count,path_functions,zero_hop_self_path,rank_reason,confidence
P001,0x11B503FD,0x11B56C63,3,0x11B503FD->0x1195DA7B->0x11B50330->0x11B56C63,false,actual call edge path from metadata,medium
P002,0x1195DA7B,0x11B56C63,2,0x1195DA7B->0x11B50330->0x11B56C63,false,actual call edge path from metadata,medium
P003,0x11B50330,0x11B56C63,1,0x11B50330->0x11B56C63,false,actual call edge path from metadata,medium
